number	type	direction	days	stop|Dybbølsbro|0.0|0	stop|København H|0.9|0	stop|Vesterport|1.4|0	stop|Nørreport|2.4|0	stop|Østerport|4.0|0	stop|Nordhavn|5.4|0	stop|Svanemøllen|6.7|0
117025870	A	N	SU	16:29	16:33	16:34	16:36	16:39	16:41	16:43
117025868	A	N	SU	16:49	16:53	16:54	16:56	16:59	17:01	17:03
117025867	A	N	SU	17:09	17:13	17:14	17:16	17:19	17:21	17:23
117025866	A	N	SU	17:29	17:33	17:34	17:36	17:39	17:41	17:43
117025865	A	N	SU	17:49	17:53	17:54	17:56	17:59	18:01	18:03
117025863	A	N	SU	18:09	18:13	18:14	18:16	18:19	18:21	18:23
117025862	A	N	SU	18:29	18:33	18:34	18:36	18:39	18:41	18:43
117025861	A	N	SU	18:49	18:53	18:54	18:56	18:59	19:01	19:03
117025859	A	N	SU	19:09	19:13	19:14	19:16	19:19	19:21	19:23
117025858	A	N	SU	19:29	19:33	19:34	19:36	19:39	19:41	19:43
117025857	A	N	FSU	19:49	19:53	19:54	19:56	19:59	20:01	20:03
117025855	A	N	MTWRFSU	20:09	20:13	20:14	20:16	20:19	20:21	20:23
117025854	A	N	MTWRFSU	20:29	20:33	20:34	20:36	20:39	20:41	20:43
117025853	A	N	MTWRFSU	20:49	20:53	20:54	20:56	20:59	21:01	21:03
117025851	A	N	MTWRFSU	21:09	21:13	21:14	21:16	21:19	21:21	21:23
117025850	A	N	MTWRFSU	21:29	21:33	21:34	21:36	21:39	21:41	21:43
117025849	A	N	MTWRFSU	21:49	21:53	21:54	21:56	21:59	22:01	22:03
117025847	A	N	MTWRFSU	22:09	22:13	22:14	22:16	22:19	22:21	22:23
117025846	A	N	MTWRFSU	22:29	22:33	22:34	22:36	22:39	22:41	22:43
117025845	A	N	MTWRFSU	22:49	22:53	22:54	22:56	22:59	23:01	23:03
117025844	A	N	MTWRFSU	23:09	23:13	23:14	23:16	23:19	23:21	23:23
117025842	A	N	MTWRFSU	23:29	23:33	23:34	23:36	23:39	23:41	23:43
117025840	A	N	MTWRFSU	23:49	23:53	23:54	23:56	23:59	24:01	24:03
117025933	A	N	MTWRU	24:49	24:53	-	-	-	-	-
117025903	A	N	MTWR	18:29	18:33	18:34	18:36	18:39	18:41	18:43
117025902	A	N	MTWR	18:49	18:53	18:54	18:56	18:59	19:01	19:03
117025901	A	N	MTWR	19:09	19:13	19:14	19:16	19:19	19:21	19:23
117025900	A	N	MTWR	19:29	19:33	19:34	19:36	19:39	19:41	19:43
117025899	A	N	MTWR	19:49	19:53	19:54	19:56	19:59	20:01	20:03
117025839	A	N	FS	25:59	26:03	26:04	26:06	26:09	26:11	26:13
117025838	A	N	SU	02:59	03:03	03:04	03:06	03:09	03:11	03:13
117025837	A	N	SU	03:59	04:03	04:04	04:06	04:09	04:11	04:13
117025836	A	N	SU	04:59	05:03	05:04	05:06	05:09	05:11	05:13
117025834	A	N	SU	05:59	06:03	06:04	06:06	06:09	06:11	06:13
117025924	A	N	S	-	09:43	09:44	09:46	09:49	09:51	09:53
117025833	A	N	SU	09:59	10:03	10:04	10:06	10:09	10:11	10:13
117025832	A	N	SU	10:19	10:23	10:24	10:26	10:29	10:31	10:33
117025831	A	N	SU	10:39	10:43	10:44	10:46	10:49	10:51	10:53
117025830	A	N	SU	10:59	11:03	11:04	11:06	11:09	11:11	11:13
117025829	A	N	SU	11:19	11:23	11:24	11:26	11:29	11:31	11:33
117025828	A	N	SU	11:39	11:43	11:44	11:46	11:49	11:51	11:53
117025827	A	N	SU	11:59	12:03	12:04	12:06	12:09	12:11	12:13
117025826	A	N	SU	12:19	12:23	12:24	12:26	12:29	12:31	12:33
117025825	A	N	SU	12:39	12:43	12:44	12:46	12:49	12:51	12:53
117025824	A	N	SU	12:59	13:03	13:04	13:06	13:09	13:11	13:13
117025823	A	N	SU	13:19	13:23	13:24	13:26	13:29	13:31	13:33
117025822	A	N	SU	13:39	13:43	13:44	13:46	13:49	13:51	13:53
117025821	A	N	SU	13:59	14:03	14:04	14:06	14:09	14:11	14:13
117025820	A	N	SU	14:19	14:23	14:24	14:26	14:29	14:31	14:33
117025819	A	N	SU	14:39	14:43	14:44	14:46	14:49	14:51	14:53
117025818	A	N	SU	14:59	15:03	15:04	15:06	15:09	15:11	15:13
117025817	A	N	SU	15:19	15:23	15:24	15:26	15:29	15:31	15:33
117025816	A	N	SU	15:39	15:43	15:44	15:46	15:49	15:51	15:53
117025815	A	N	SU	15:59	16:03	16:04	16:06	16:09	16:11	16:13
117025814	A	N	SU	16:19	16:23	16:24	16:26	16:29	16:31	16:33
117025813	A	N	SU	16:39	16:43	16:44	16:46	16:49	16:51	16:53
117025812	A	N	SU	16:59	17:03	17:04	17:06	17:09	17:11	17:13
117025811	A	N	SU	17:19	17:23	17:24	17:26	17:29	17:31	17:33
117025810	A	N	SU	17:39	17:43	17:44	17:46	17:49	17:51	17:53
117025809	A	N	SU	17:59	18:03	18:04	18:06	18:09	18:11	18:13
117025808	A	N	SU	18:19	18:23	18:24	18:26	18:29	18:31	18:33
117025807	A	N	SU	18:39	18:43	18:44	18:46	18:49	18:51	18:53
117025806	A	N	FS	18:59	19:03	19:04	19:06	19:09	19:11	19:13
117025805	A	N	FS	19:19	19:23	19:24	19:26	19:29	19:31	19:33
117025804	A	N	FS	19:39	19:43	19:44	19:46	19:49	19:51	19:53
117025803	A	N	FS	19:59	20:03	20:04	20:06	20:09	20:11	20:13
117025802	A	N	F	20:19	20:23	20:24	20:26	20:29	20:31	20:33
117025801	A	N	F	20:39	20:43	20:44	20:46	20:49	20:51	20:53
117025930	A	N	U	18:59	19:03	-	-	-	-	-
117025928	A	N	S	20:19	20:23	-	-	-	-	-
117025923	A	N	F	20:59	21:02	-	-	-	-	-
117025898	A	N	F	18:39	18:43	18:44	18:46	18:49	18:51	18:53
117027126	B	S	FS	24:03	24:01	23:58	23:56	23:54	23:51	23:49
117027125	B	S	FS	24:23	24:21	24:18	24:16	24:14	24:11	24:09
117027124	B	S	FS	24:43	24:41	24:38	24:36	24:34	24:31	24:29
117027123	B	S	FS	25:03	25:01	24:58	24:56	24:54	24:51	24:49
117027122	B	S	FS	25:23	25:21	25:18	25:16	25:14	25:11	25:09
117027121	B	S	FS	26:23	26:21	26:18	26:16	26:14	26:11	26:09
117027120	B	S	SU	03:23	03:21	03:18	03:16	03:14	03:11	03:09
117027119	B	S	SU	04:23	04:21	04:18	04:16	04:14	04:11	04:09
117026947	B	S	MTWRF	05:03	05:01	-	-	-	-	-
117027118	B	S	SU	05:23	05:21	05:18	05:16	05:14	05:11	05:09
117026946	B	S	MTWRF	05:23	05:21	-	-	-	-	-
117027117	B	S	MTWRF	05:43	05:41	05:38	05:36	05:34	05:31	05:29
117027116	B	S	MTWRF	06:03	06:01	05:58	05:56	05:54	05:51	05:49
117027115	B	S	MTWRFSU	06:23	06:21	06:18	06:16	06:14	06:11	06:09
117027114	B	S	MTWRF	06:43	06:41	06:38	06:36	06:34	06:31	06:29
117027113	B	S	MTWRF	07:03	07:01	06:58	06:56	06:54	06:51	06:49
117027112	B	S	MTWRFSU	07:23	07:21	07:18	07:16	07:14	07:11	07:09
117027111	B	S	MTWRFSU	07:43	07:41	07:38	07:36	07:34	07:31	07:29
117027110	B	S	MTWRFSU	08:03	08:01	07:58	07:56	07:54	07:51	07:49
117027109	B	S	MTWRFSU	08:23	08:21	08:18	08:16	08:14	08:11	08:09
117027108	B	S	MTWRFSU	08:43	08:41	08:38	08:36	08:34	08:31	08:29
117027107	B	S	MTWRFSU	09:03	09:01	08:58	08:56	08:54	08:51	08:49
117027106	B	S	MTWRFSU	09:23	09:21	09:18	09:16	09:14	09:11	09:09
117027105	B	S	MTWRFSU	09:43	09:41	09:38	09:36	09:34	09:31	09:29
117027104	B	S	MTWRFSU	10:03	10:01	09:58	09:56	09:54	09:51	09:49
117027103	B	S	MTWRFSU	10:23	10:21	10:18	10:16	10:14	10:11	10:09
117027102	B	S	MTWRFSU	10:43	10:41	10:38	10:36	10:34	10:31	10:29
117027101	B	S	MTWRFSU	11:03	11:01	10:58	10:56	10:54	10:51	10:49
117027100	B	S	MTWRFSU	11:23	11:21	11:18	11:16	11:14	11:11	11:09
117027099	B	S	MTWRFSU	11:43	11:41	11:38	11:36	11:34	11:31	11:29
117027098	B	S	MTWRFSU	12:03	12:01	11:58	11:56	11:54	11:51	11:49
117027097	B	S	MTWRFSU	12:23	12:21	12:18	12:16	12:14	12:11	12:09
117027096	B	S	MTWRFSU	12:43	12:41	12:38	12:36	12:34	12:31	12:29
117027095	B	S	MTWRFSU	13:03	13:01	12:58	12:56	12:54	12:51	12:49
117027094	B	S	MTWRFSU	13:23	13:21	13:18	13:16	13:14	13:11	13:09
117027093	B	S	MTWRFSU	13:43	13:41	13:38	13:36	13:34	13:31	13:29
117027092	B	S	MTWRFSU	14:03	14:01	13:58	13:56	13:54	13:51	13:49
117027091	B	S	MTWRFSU	14:23	14:21	14:18	14:16	14:14	14:11	14:09
117027090	B	S	MTWRFSU	14:43	14:41	14:38	14:36	14:34	14:31	14:29
117027089	B	S	MTWRFSU	15:03	15:01	14:58	14:56	14:54	14:51	14:49
117027088	B	S	MTWRFSU	15:23	15:21	15:18	15:16	15:14	15:11	15:09
117027087	B	S	MTWRFSU	15:43	15:41	15:38	15:36	15:34	15:31	15:29
117027086	B	S	MTWRFSU	16:03	16:01	15:58	15:56	15:54	15:51	15:49
117027085	B	S	MTWRFSU	16:23	16:21	16:18	16:16	16:14	16:11	16:09
117027084	B	S	MTWRFSU	16:43	16:41	16:38	16:36	16:34	16:31	16:29
117027083	B	S	MTWRFSU	17:03	17:01	16:58	16:56	16:54	16:51	16:49
117027082	B	S	MTWRFSU	17:23	17:21	17:18	17:16	17:14	17:11	17:09
117027081	B	S	MTWRFSU	17:43	17:41	17:38	17:36	17:34	17:31	17:29
117027080	B	S	MTWRFSU	18:03	18:01	17:58	17:56	17:54	17:51	17:49
117027079	B	S	MTWRFSU	18:23	18:21	18:18	18:16	18:14	18:11	18:09
117027078	B	S	MTWRFSU	18:43	18:41	18:38	18:36	18:34	18:31	18:29
117027077	B	S	MTWRFSU	19:03	19:01	18:58	18:56	18:54	18:51	18:49
117027076	B	S	MTWRFSU	19:23	19:21	19:18	19:16	19:14	19:11	19:09
117027075	B	S	MTWRFSU	19:43	19:41	19:38	19:36	19:34	19:31	19:29
117027074	B	S	MTWRFSU	20:03	20:01	19:58	19:56	19:54	19:51	19:49
117027073	B	S	FS	20:23	20:21	20:18	20:16	20:14	20:11	20:09
117027072	B	S	FS	20:43	20:41	20:38	20:36	20:34	20:31	20:29
117027071	B	S	FS	21:03	21:01	20:58	20:56	20:54	20:51	20:49
117027070	B	S	FS	21:23	21:21	21:18	21:16	21:14	21:11	21:09
117027069	B	S	FS	21:43	21:41	21:38	21:36	21:34	21:31	21:29
117027068	B	S	FS	22:03	22:01	21:58	21:56	21:54	21:51	21:49
117027067	B	S	FS	22:23	22:21	22:18	22:16	22:14	22:11	22:09
117027066	B	S	FS	22:43	22:41	22:38	22:36	22:34	22:31	22:29
117027065	B	S	FS	23:03	23:01	22:58	22:56	22:54	22:51	22:49
117027064	B	S	FS	23:23	23:21	23:18	23:16	23:14	23:11	23:09
117027063	B	S	FS	23:43	23:41	23:38	23:36	23:34	23:31	23:29
117026943	B	S	MT	-	24:41	24:38	24:36	24:34	24:31	24:29
117026941	B	S	MT	-	25:01	24:58	24:56	24:54	24:51	24:49
117027062	B	S	FS	25:53	25:51	25:48	25:46	25:44	25:41	25:39
117027061	B	S	SU	02:53	02:51	02:48	02:46	02:44	02:41	02:39
117027060	B	S	SU	03:53	03:51	03:48	03:46	03:44	03:41	03:39
117027059	B	S	SU	04:53	04:51	04:48	04:46	04:44	04:41	04:39
117027058	B	S	SU	05:53	05:51	05:48	05:46	05:44	05:41	05:39
117026945	B	S	MTWRF	06:13	06:11	-	-	-	-	-
117027057	B	S	MTWRF	06:33	06:31	06:28	06:26	06:24	06:21	06:19
117027056	B	S	MTWRFSU	06:53	06:51	06:48	06:46	06:44	06:41	06:39
117027055	B	S	MTWRF	07:13	07:11	07:08	07:06	07:04	07:01	06:59
117027054	B	S	MTWRF	07:33	07:31	07:28	07:26	07:24	07:21	07:19
117027053	B	S	MTWRF	07:53	07:51	07:48	07:46	07:44	07:41	07:39
117027052	B	S	MTWRF	08:13	08:11	08:08	08:06	08:04	08:01	07:59
117027051	B	S	MTWRF	08:33	08:31	08:28	08:26	08:24	08:21	08:19
117027050	B	S	MTWRF	08:53	08:51	08:48	08:46	08:44	08:41	08:39
117027049	B	S	MTWRF	09:13	09:11	09:08	09:06	09:04	09:01	08:59
117027048	B	S	MTWRF	09:33	09:31	09:28	09:26	09:24	09:21	09:19
117027047	B	S	MTWRF	09:53	09:51	09:48	09:46	09:44	09:41	09:39
117027046	B	S	MTWRFSU	10:13	10:11	10:08	10:06	10:04	10:01	09:59
117027045	B	S	MTWRFSU	10:33	10:31	10:28	10:26	10:24	10:21	10:19
117027044	B	S	MTWRFSU	10:53	10:51	10:48	10:46	10:44	10:41	10:39
117027043	B	S	MTWRFSU	11:13	11:11	11:08	11:06	11:04	11:01	10:59
117027042	B	S	MTWRFSU	11:33	11:31	11:28	11:26	11:24	11:21	11:19
117027041	B	S	MTWRFSU	11:53	11:51	11:48	11:46	11:44	11:41	11:39
117027040	B	S	MTWRFSU	12:13	12:11	12:08	12:06	12:04	12:01	11:59
117027039	B	S	MTWRFSU	12:33	12:31	12:28	12:26	12:24	12:21	12:19
117027038	B	S	MTWRFSU	12:53	12:51	12:48	12:46	12:44	12:41	12:39
117027037	B	S	MTWRFSU	13:13	13:11	13:08	13:06	13:04	13:01	12:59
117027036	B	S	MTWRFSU	13:33	13:31	13:28	13:26	13:24	13:21	13:19
117027035	B	S	MTWRFSU	13:53	13:51	13:48	13:46	13:44	13:41	13:39
117027034	B	S	MTWRFSU	14:13	14:11	14:08	14:06	14:04	14:01	13:59
117027033	B	S	MTWRFSU	14:33	14:31	14:28	14:26	14:24	14:21	14:19
117027032	B	S	MTWRFSU	14:53	14:51	14:48	14:46	14:44	14:41	14:39
117027031	B	S	MTWRFSU	15:13	15:11	15:08	15:06	15:04	15:01	14:59
117027030	B	S	MTWRFSU	15:33	15:31	15:28	15:26	15:24	15:21	15:19
117027029	B	S	MTWRFSU	15:53	15:51	15:48	15:46	15:44	15:41	15:39
117027028	B	S	MTWRFSU	16:13	16:11	16:08	16:06	16:04	16:01	15:59
117027027	B	S	MTWRFSU	16:33	16:31	16:28	16:26	16:24	16:21	16:19
117027026	B	S	MTWRFSU	16:53	16:51	16:48	16:46	16:44	16:41	16:39
117027025	B	S	MTWRFSU	17:13	17:11	17:08	17:06	17:04	17:01	16:59
117027024	B	S	MTWRFSU	17:33	17:31	17:28	17:26	17:24	17:21	17:19
117027023	B	S	MTWRFSU	17:53	17:51	17:48	17:46	17:44	17:41	17:39
117027022	B	S	MTWRFSU	18:13	18:11	18:08	18:06	18:04	18:01	17:59
117027021	B	S	MTWRFSU	18:33	18:31	18:28	18:26	18:24	18:21	18:19
117027020	B	S	MTWRFSU	18:53	18:51	18:48	18:46	18:44	18:41	18:39
117027019	B	S	MTWRFS	19:13	19:11	19:08	19:06	19:04	19:01	18:59
117027018	B	S	MTWRFS	19:33	19:31	19:28	19:26	19:24	19:21	19:19
117027017	B	S	MTWRFS	19:53	19:51	19:48	19:46	19:44	19:41	19:39
117027016	B	S	F	20:13	20:11	20:08	20:06	20:04	20:01	19:59
117027015	B	S	F	20:33	20:31	20:28	20:26	20:24	20:21	20:19
117027014	B	S	F	20:53	20:51	20:48	20:46	20:44	20:41	20:39
117026939	B	S	U	-	19:11	19:08	19:06	19:04	19:01	18:59
117026938	B	S	S	-	20:11	20:08	20:06	20:04	20:01	19:59
117026901	B	S	F	-	21:10	21:08	21:06	21:04	21:01	20:59
117026935	B	S	U	-	24:51	24:48	24:46	24:44	24:41	24:39
117026762	B	N	MTWRFSU	24:03	24:07	24:08	24:10	24:13	24:15	24:17
117026761	B	N	MTWRFSU	24:23	24:27	24:28	24:30	24:33	24:35	24:37
117026760	B	N	FS	24:43	24:47	24:48	24:50	24:53	24:55	24:57
117026759	B	N	FS	25:03	25:07	25:08	25:10	25:13	25:15	25:17
117026758	B	N	FS	25:23	25:27	25:28	25:30	25:33	25:35	25:37
117026757	B	N	SU	02:23	02:27	02:28	02:30	02:33	02:35	02:37
117026756	B	N	SU	03:23	03:27	03:28	03:30	03:33	03:35	03:37
117026755	B	N	SU	04:23	04:27	04:28	04:30	04:33	04:35	04:37
117026582	B	N	MTWRF	-	05:07	05:08	05:10	05:13	05:15	05:17
117026754	B	N	MTWRFSU	05:23	05:27	05:28	05:30	05:33	05:35	05:37
117026753	B	N	MTWRF	05:43	05:47	05:48	05:50	05:53	05:55	05:57
117026752	B	N	MTWRF	06:03	06:07	06:08	06:10	06:13	06:15	06:17
117026751	B	N	MTWRFSU	06:23	06:27	06:28	06:30	06:33	06:35	06:37
117026750	B	N	MTWRFSU	06:43	06:47	06:48	06:50	06:53	06:55	06:57
117026749	B	N	MTWRFSU	07:03	07:07	07:08	07:10	07:13	07:15	07:17
117026748	B	N	MTWRFSU	07:23	07:27	07:28	07:30	07:33	07:35	07:37
117026747	B	N	MTWRFSU	07:43	07:47	07:48	07:50	07:53	07:55	07:57
117026746	B	N	MTWRFSU	08:03	08:07	08:08	08:10	08:13	08:15	08:17
117026745	B	N	MTWRFSU	08:23	08:27	08:28	08:30	08:33	08:35	08:37
117026744	B	N	MTWRFSU	08:43	08:47	08:48	08:50	08:53	08:55	08:57
117026743	B	N	MTWRFSU	09:03	09:07	09:08	09:10	09:13	09:15	09:17
117026742	B	N	MTWRFSU	09:23	09:27	09:28	09:30	09:33	09:35	09:37
117026741	B	N	MTWRFSU	09:43	09:47	09:48	09:50	09:53	09:55	09:57
117026740	B	N	MTWRFSU	10:03	10:07	10:08	10:10	10:13	10:15	10:17
117026739	B	N	MTWRFSU	10:23	10:27	10:28	10:30	10:33	10:35	10:37
117026738	B	N	MTWRFSU	10:43	10:47	10:48	10:50	10:53	10:55	10:57
117026737	B	N	MTWRFSU	11:03	11:07	11:08	11:10	11:13	11:15	11:17
117026736	B	N	MTWRFSU	11:23	11:27	11:28	11:30	11:33	11:35	11:37
117026735	B	N	MTWRFSU	11:43	11:47	11:48	11:50	11:53	11:55	11:57
117026734	B	N	MTWRFSU	12:03	12:07	12:08	12:10	12:13	12:15	12:17
117026733	B	N	MTWRFSU	12:23	12:27	12:28	12:30	12:33	12:35	12:37
117026732	B	N	MTWRFSU	12:43	12:47	12:48	12:50	12:53	12:55	12:57
117026731	B	N	MTWRFSU	13:03	13:07	13:08	13:10	13:13	13:15	13:17
117026730	B	N	MTWRFSU	13:23	13:27	13:28	13:30	13:33	13:35	13:37
117026729	B	N	MTWRFSU	13:43	13:47	13:48	13:50	13:53	13:55	13:57
117026728	B	N	MTWRFSU	14:03	14:07	14:08	14:10	14:13	14:15	14:17
117026727	B	N	MTWRFSU	14:23	14:27	14:28	14:30	14:33	14:35	14:37
117026726	B	N	MTWRFSU	14:43	14:47	14:48	14:50	14:53	14:55	14:57
117026725	B	N	MTWRFSU	15:03	15:07	15:08	15:10	15:13	15:15	15:17
117026724	B	N	MTWRFSU	15:23	15:27	15:28	15:30	15:33	15:35	15:37
117026723	B	N	MTWRFSU	15:43	15:47	15:48	15:50	15:53	15:55	15:57
117026722	B	N	MTWRFSU	16:03	16:07	16:08	16:10	16:13	16:15	16:17
117026721	B	N	MTWRFSU	16:23	16:27	16:28	16:30	16:33	16:35	16:37
117026720	B	N	MTWRFSU	16:43	16:47	16:48	16:50	16:53	16:55	16:57
117026719	B	N	MTWRFSU	17:03	17:07	17:08	17:10	17:13	17:15	17:17
117026718	B	N	MTWRFSU	17:23	17:27	17:28	17:30	17:33	17:35	17:37
117026717	B	N	MTWRFSU	17:43	17:47	17:48	17:50	17:53	17:55	17:57
117026716	B	N	MTWRFSU	18:03	18:07	18:08	18:10	18:13	18:15	18:17
117026715	B	N	MTWRFSU	18:23	18:27	18:28	18:30	18:33	18:35	18:37
117026714	B	N	MTWRFSU	18:43	18:47	18:48	18:50	18:53	18:55	18:57
117026713	B	N	MTWRFSU	19:03	19:07	19:08	19:10	19:13	19:15	19:17
117026712	B	N	MTWRFSU	19:23	19:27	19:28	19:30	19:33	19:35	19:37
117026711	B	N	MTWRFSU	19:43	19:47	19:48	19:50	19:53	19:55	19:57
117026710	B	N	MTWRFSU	20:03	20:07	20:08	20:10	20:13	20:15	20:17
117026709	B	N	MTWRFSU	20:23	20:27	20:28	20:30	20:33	20:35	20:37
117026708	B	N	MTWRFSU	20:43	20:47	20:48	20:50	20:53	20:55	20:57
117026707	B	N	MTWRFSU	21:03	21:07	21:08	21:10	21:13	21:15	21:17
117026706	B	N	MTWRFSU	21:23	21:27	21:28	21:30	21:33	21:35	21:37
117026705	B	N	MTWRFSU	21:43	21:47	21:48	21:50	21:53	21:55	21:57
117026704	B	N	MTWRFSU	22:03	22:07	22:08	22:10	22:13	22:15	22:17
117026703	B	N	MTWRFSU	22:23	22:27	22:28	22:30	22:33	22:35	22:37
117026702	B	N	MTWRFSU	22:43	22:47	22:48	22:50	22:53	22:55	22:57
117026701	B	N	MTWRFSU	23:03	23:07	23:08	23:10	23:13	23:15	23:17
117026700	B	N	MTWRFSU	23:23	23:27	23:28	23:30	23:33	23:35	23:37
117026699	B	N	MTWRFSU	23:43	23:47	23:48	23:50	23:53	23:55	23:57
117026550	B	N	MTWRU	24:43	24:47	-	-	-	-	-
117026698	B	N	FS	25:53	25:57	25:58	26:00	26:03	26:05	26:07
117026697	B	N	SU	02:53	02:57	02:58	03:00	03:03	03:05	03:07
117026696	B	N	SU	03:53	03:57	03:58	04:00	04:03	04:05	04:07
117026695	B	N	SU	04:53	04:57	04:58	05:00	05:03	05:05	05:07
117026694	B	N	SU	05:53	05:57	05:58	06:00	06:03	06:05	06:07
117026693	B	N	MTWRF	06:13	06:17	06:18	06:20	06:23	06:25	06:27
117026692	B	N	MTWRF	06:33	06:37	06:38	06:40	06:43	06:45	06:47
117026691	B	N	MTWRF	06:53	06:57	06:58	07:00	07:03	07:05	07:07
117026690	B	N	MTWRF	07:13	07:17	07:18	07:20	07:23	07:25	07:27
117026689	B	N	MTWRF	07:33	07:37	07:38	07:40	07:43	07:45	07:47
117026688	B	N	MTWRF	07:53	07:57	07:58	08:00	08:03	08:05	08:07
117026687	B	N	MTWRF	08:13	08:17	08:18	08:20	08:23	08:25	08:27
117026686	B	N	MTWRF	08:33	08:37	08:38	08:40	08:43	08:45	08:47
117026685	B	N	MTWRF	08:53	08:57	08:58	09:00	09:03	09:05	09:07
117026684	B	N	MTWRF	09:13	09:17	09:18	09:20	09:23	09:25	09:27
117026683	B	N	MTWRF	09:33	09:37	09:38	09:40	09:43	09:45	09:47
117026682	B	N	MTWRF	09:53	09:57	09:58	10:00	10:03	10:05	10:07
117026580	B	N	SU	-	09:57	09:58	10:00	10:03	10:05	10:07
117026681	B	N	MTWRFSU	10:13	10:17	10:18	10:20	10:23	10:25	10:27
117026680	B	N	MTWRFSU	10:33	10:37	10:38	10:40	10:43	10:45	10:47
117026679	B	N	MTWRFSU	10:53	10:57	10:58	11:00	11:03	11:05	11:07
117026678	B	N	MTWRFSU	11:13	11:17	11:18	11:20	11:23	11:25	11:27
117026677	B	N	MTWRFSU	11:33	11:37	11:38	11:40	11:43	11:45	11:47
117026676	B	N	MTWRFSU	11:53	11:57	11:58	12:00	12:03	12:05	12:07
117026675	B	N	MTWRFSU	12:13	12:17	12:18	12:20	12:23	12:25	12:27
117026674	B	N	MTWRFSU	12:33	12:37	12:38	12:40	12:43	12:45	12:47
117026673	B	N	MTWRFSU	12:53	12:57	12:58	13:00	13:03	13:05	13:07
117026672	B	N	MTWRFSU	13:13	13:17	13:18	13:20	13:23	13:25	13:27
117026671	B	N	MTWRFSU	13:33	13:37	13:38	13:40	13:43	13:45	13:47
117026670	B	N	MTWRFSU	13:53	13:57	13:58	14:00	14:03	14:05	14:07
117026669	B	N	MTWRFSU	14:13	14:17	14:18	14:20	14:23	14:25	14:27
117026668	B	N	MTWRFSU	14:33	14:37	14:38	14:40	14:43	14:45	14:47
117026667	B	N	MTWRFSU	14:53	14:57	14:58	15:00	15:03	15:05	15:07
117026666	B	N	MTWRFSU	15:13	15:17	15:18	15:20	15:23	15:25	15:27
117026665	B	N	MTWRFSU	15:33	15:37	15:38	15:40	15:43	15:45	15:47
117026664	B	N	MTWRFSU	15:53	15:57	15:58	16:00	16:03	16:05	16:07
117026663	B	N	MTWRFSU	16:13	16:17	16:18	16:20	16:23	16:25	16:27
117026662	B	N	MTWRFSU	16:33	16:37	16:38	16:40	16:43	16:45	16:47
117026661	B	N	MTWRFSU	16:53	16:57	16:58	17:00	17:03	17:05	17:07
117026660	B	N	MTWRFSU	17:13	17:17	17:18	17:20	17:23	17:25	17:27
117026659	B	N	MTWRFSU	17:33	17:37	17:38	17:40	17:43	17:45	17:47
117026658	B	N	MTWRFSU	17:53	17:57	17:58	18:00	18:03	18:05	18:07
117026657	B	N	MTWRFSU	18:13	18:17	18:18	18:20	18:23	18:25	18:27
117026656	B	N	MTWRFSU	18:33	18:37	18:38	18:40	18:43	18:45	18:47
117026655	B	N	MTWRFSU	18:53	18:57	18:58	19:00	19:03	19:05	19:07
117026654	B	N	MTWRFS	19:13	19:17	19:18	19:20	19:23	19:25	19:27
117026653	B	N	FS	19:33	19:37	19:38	19:40	19:43	19:45	19:47
117026652	B	N	F	19:53	19:57	19:58	20:00	20:03	20:05	20:07
117026651	B	N	F	20:13	20:17	20:18	20:20	20:23	20:25	20:27
117026650	B	N	F	20:33	20:37	20:38	20:40	20:43	20:45	20:47
117027160	BX	S	MTWRF	07:51	07:49	07:46	07:44	07:42	07:39	07:37
117027159	BX	S	MTWRF	08:11	08:09	08:06	08:04	08:02	07:59	07:57
117027158	BX	S	MTWRF	08:31	08:29	08:26	08:24	08:22	08:19	08:17
117027157	BX	S	MTWRF	08:51	08:49	08:46	08:44	08:42	08:39	08:37
117027156	BX	S	MTWRF	09:11	09:09	09:06	09:04	09:02	08:59	08:57
117027155	BX	S	MTWRF	09:31	09:29	09:26	09:24	09:22	09:19	09:17
117027154	BX	S	MTWRF	14:51	14:49	14:46	14:44	14:42	14:39	14:37
117027153	BX	S	MTWRF	15:11	15:09	15:06	15:04	15:02	14:59	14:57
117027152	BX	S	MTWRF	15:31	15:29	15:26	15:24	15:22	15:19	15:17
